date,state,income_mean,income_median,expenditure_mean,gini,poverty,year_x,exp_to_income_ratio,year_y,division,division_label,cpi_mean
2022-01-01,Perak,5779,4494,3903,0.36769,7.5,2022,0.6753763626925073,2022,01,Food & Non-Alcoholic Beverages,137.53333333333333
2022-01-01,Perak,5779,4494,3903,0.36769,7.5,2022,0.6753763626925073,2022,02,Alcoholic Beverages & Tobacco,168.23333333333332
2022-01-01,Perak,5779,4494,3903,0.36769,7.5,2022,0.6753763626925073,2022,03,Clothing & Footwear,91.79166666666667
2022-01-01,Perak,5779,4494,3903,0.36769,7.5,2022,0.6753763626925073,2022,04,"Housing, Water, Electricity & Gas",115.89166666666667
2022-01-01,Perak,5779,4494,3903,0.36769,7.5,2022,0.6753763626925073,2022,05,Furnishings & Household Equipment,120.93333333333334
2022-01-01,Perak,5779,4494,3903,0.36769,7.5,2022,0.6753763626925073,2022,06,Health,123.68333333333334
2022-01-01,Perak,5779,4494,3903,0.36769,7.5,2022,0.6753763626925073,2022,07,Transport,114.825
2022-01-01,Perak,5779,4494,3903,0.36769,7.5,2022,0.6753763626925073,2022,08,Communication,101.7
2022-01-01,Perak,5779,4494,3903,0.36769,7.5,2022,0.6753763626925073,2022,09,Recreation & Culture,111.75
2022-01-01,Perak,5779,4494,3903,0.36769,7.5,2022,0.6753763626925073,2022,10,Education,114.99166666666667
2022-01-01,Perak,5779,4494,3903,0.36769,7.5,2022,0.6753763626925073,2022,11,Restaurants & Hotels,134.10833333333332
2022-01-01,Perak,5779,4494,3903,0.36769,7.5,2022,0.6753763626925073,2022,12,Insurance & Financial Services,116.5
2022-01-01,Perak,5779,4494,3903,0.36769,7.5,2022,0.6753763626925073,2022,13,Personal Care & Miscellaneous,120.25833333333333
2022-01-01,Perak,5779,4494,3903,0.36769,7.5,2022,0.6753763626925073,2022,overall,Overall CPI,122.95
2022-01-01,Perlis,5664,4713,3834,0.33589,4.0,2022,0.676906779661017,2022,01,Food & Non-Alcoholic Beverages,130.70000000000002
2022-01-01,Perlis,5664,4713,3834,0.33589,4.0,2022,0.676906779661017,2022,02,Alcoholic Beverages & Tobacco,183.9
2022-01-01,Perlis,5664,4713,3834,0.33589,4.0,2022,0.676906779661017,2022,03,Clothing & Footwear,90.14999999999999
2022-01-01,Perlis,5664,4713,3834,0.33589,4.0,2022,0.676906779661017,2022,04,"Housing, Water, Electricity & Gas",114.84166666666665
2022-01-01,Perlis,5664,4713,3834,0.33589,4.0,2022,0.676906779661017,2022,05,Furnishings & Household Equipment,113.10000000000001
2022-01-01,Perlis,5664,4713,3834,0.33589,4.0,2022,0.676906779661017,2022,06,Health,117.54166666666667
2022-01-01,Perlis,5664,4713,3834,0.33589,4.0,2022,0.676906779661017,2022,07,Transport,112.33333333333333
2022-01-01,Perlis,5664,4713,3834,0.33589,4.0,2022,0.676906779661017,2022,08,Communication,102.09166666666665
2022-01-01,Perlis,5664,4713,3834,0.33589,4.0,2022,0.676906779661017,2022,09,Recreation & Culture,118.64999999999999
2022-01-01,Perlis,5664,4713,3834,0.33589,4.0,2022,0.676906779661017,2022,10,Education,126.0
2022-01-01,Perlis,5664,4713,3834,0.33589,4.0,2022,0.676906779661017,2022,11,Restaurants & Hotels,131.03333333333333
2022-01-01,Perlis,5664,4713,3834,0.33589,4.0,2022,0.676906779661017,2022,12,Insurance & Financial Services,121.7
2022-01-01,Perlis,5664,4713,3834,0.33589,4.0,2022,0.676906779661017,2022,13,Personal Care & Miscellaneous,110.425
2022-01-01,Perlis,5664,4713,3834,0.33589,4.0,2022,0.676906779661017,2022,overall,Overall CPI,120.16666666666667
2022-01-01,Selangor,12233,9983,6770,0.36123,1.5,2022,0.5534210741437097,2022,01,Food & Non-Alcoholic Beverages,153.30833333333334
2022-01-01,Selangor,12233,9983,6770,0.36123,1.5,2022,0.5534210741437097,2022,02,Alcoholic Beverages & Tobacco,169.32500000000002
2022-01-01,Selangor,12233,9983,6770,0.36123,1.5,2022,0.5534210741437097,2022,03,Clothing & Footwear,99.38333333333333
2022-01-01,Selangor,12233,9983,6770,0.36123,1.5,2022,0.5534210741437097,2022,04,"Housing, Water, Electricity & Gas",129.20000000000002
2022-01-01,Selangor,12233,9983,6770,0.36123,1.5,2022,0.5534210741437097,2022,05,Furnishings & Household Equipment,130.96666666666667
2022-01-01,Selangor,12233,9983,6770,0.36123,1.5,2022,0.5534210741437097,2022,06,Health,126.66666666666667
2022-01-01,Selangor,12233,9983,6770,0.36123,1.5,2022,0.5534210741437097,2022,07,Transport,123.60000000000001
2022-01-01,Selangor,12233,9983,6770,0.36123,1.5,2022,0.5534210741437097,2022,08,Communication,96.40833333333335
2022-01-01,Selangor,12233,9983,6770,0.36123,1.5,2022,0.5534210741437097,2022,09,Recreation & Culture,119.825
2022-01-01,Selangor,12233,9983,6770,0.36123,1.5,2022,0.5534210741437097,2022,10,Education,124.56666666666666
2022-01-01,Selangor,12233,9983,6770,0.36123,1.5,2022,0.5534210741437097,2022,11,Restaurants & Hotels,148.38333333333333
2022-01-01,Selangor,12233,9983,6770,0.36123,1.5,2022,0.5534210741437097,2022,12,Insurance & Financial Services,102.3
